# BOBA Playbook pHash index — generated by scripts/build_phash_index.py
# Cards: 8221 · Format: bobaId|<16-hex-char> (LSB-first 64-bit pHash)
# Browser-side hash MUST stay in sync with computeFramePhash in js/app.js.
37-JacHammer-Base Set-First Edition-FIRE|33e18e96669cc6a3
37-Mic'd Up-Base Set-First Edition-FIRE|29cfe43cb63c4983
37-Processor-Base Set-First Edition-FIRE|9fc7c0b0241cefa3
38-BaldWing-Base Set-First Edition-FIRE|c3c60e1efeb0c523
38-Jambox-Base Set-First Edition-FIRE|fc3c549426b28fa9
38-Processor-Base Set-First Edition-ICE|3f47c6b0a41c6ba3
39-Processor-Base Set-First Edition-STEEL|3f67c090649c5fa3
39-Rook-Base Set-First Edition-FIRE|9274cfba32ca4e23
39-Simon Says-Base Set-First Edition-FIRE|b2c966b649b4e689
4-Dijon-Base Set-First Edition-FIRE|8dce623232b3ccad
4-Matata-Base Set-First Edition-FIRE|92a99b942d96db89
4-Midas-Base Set-First Edition-FIRE|73a9a6a0c4e62b9b
40-Burner-Base Set-First Edition-FIRE|ee2e0eb636dcc181
40-Camera-Base Set-First Edition-FIRE|39e4069ed6b66c29
40-Mr. Irrelevant-Base Set-First Edition-FIRE|dc616a9f0622e5b9
41-Burner-Base Set-First Edition-ICE|cc2ce6362e96c9a9
41-Homestead-Base Set-First Edition-FIRE|cb6ccb9a329ec4a1
41-Pantera-Base Set-First Edition-FIRE|34c7dc6b47b4ac09
42-Burner-Base Set-First Edition-STEEL|a60de63626b68ba9
42-Rockstar-Base Set-First Edition-FIRE|f62eca8b2624cd99
42-Scary-Base Set-First Edition-FIRE|3cc4963072f3ec2d
43-Big-Z-Base Set-First Edition-FIRE|f4947823eabc8783
43-Canine-Base Set-First Edition-FIRE|a9241c36e9db760d
43-Cowboy-Base Set-First Edition-FIRE|108f7b34319ee3a3
44-Clutch-Base Set-First Edition-FIRE|b40b67947864c7ab
44-Cowboy-Base Set-First Edition-ICE|10ad6f74359eea21
44-Superbaby-Base Set-2026 Edition-FIRE|97dc12b6eeb24485
45-Cowboy-Base Set-First Edition-STEEL|16accd74379eca21
45-Javalanche-Base Set-2026 Edition-FIRE|311ccec6e699caa3
45-PukaDot-Base Set-First Edition-FIRE|b685ec7e072c49b1
46-Sprinkler-Base Set-First Edition-FIRE|f02d66e6cf9080bb
46-Wild Bill-Base Set-First Edition-FIRE|73dc3690c2b4cfa1
46-Yeti-Base Set-First Edition-FIRE|082f9ebce4d21fa1
47-Foxhole-Base Set-First Edition-FIRE|f5251a8bce3ca383
47-Thorn-Base Set-First Edition-FIRE|379e8074ef90e4a3
